          Class     ID
GH59      GH        GH59
GH6       GH        GH6
GH61      GH        GH61
GH62      GH        GH62
GH63      GH        GH63
GH64      GH        GH64
GH65      GH        GH65
GH66      GH        GH66
GH67      GH        GH67
GH68      GH        GH68
GH7       GH        GH7
GH70      GH        GH70
GH71      GH        GH71
GH72      GH        GH72
GH73      GH        GH73
GH74      GH        GH74
GH75      GH        GH75
GH76      GH        GH76
GH77      GH        GH77
GH78      GH        GH78
GH79      GH        GH79
GH8       GH        GH8
GH80      GH        GH80
GH81      GH        GH81
GH82      GH        GH82
GH84      GH        GH84
GH85      GH        GH85
GH87      GH        GH87
GH88      GH        GH88
GH89      GH        GH89
GH9       GH        GH9
GH91      GH        GH91
GH92      GH        GH92
GH93      GH        GH93
GH94      GH        GH94
GH95      GH        GH95
GH96      GH        GH96
GH97      GH        GH97
GH98      GH        GH98
GH99      GH        GH99
GT1       GT        GT1
GT10      GT        GT10
GT11      GT        GT11
GT12      GT        GT12
GT13      GT        GT13
GT14      GT        GT14
GT15      GT        GT15
GT16      GT        GT16
GT17      GT        GT17
GT18      GT        GT18
GT19      GT        GT19
GT2       GT        GT2
GT20      GT        GT20
GT21      GT        GT21
GT22      GT        GT22
GT23      GT        GT23
GT24      GT        GT24
GT25      GT        GT25
GT26      GT        GT26
GT27      GT        GT27
GT28      GT        GT28
GT29      GT        GT29
GT3       GT        GT3
GT30      GT        GT30
GT31      GT        GT31
GT32      GT        GT32
GT33      GT        GT33
GT34      GT        GT34
GT35      GT        GT35
GT37      GT        GT37
GT39      GT        GT39
GT4       GT        GT4
GT40      GT        GT40
GT41      GT        GT41
GT42      GT        GT42
GT43      GT        GT43
GT44      GT        GT44
GT45      GT        GT45
GT46      GT        GT46
GT47      GT        GT47
GT48      GT        GT48
GT49      GT        GT49
GT5       GT        GT5
GT50      GT        GT50
GT51      GT        GT51
GT53      GT        GT53
GT54      GT        GT54
GT55      GT        GT55
GT56      GT        GT56
GT57      GT        GT57
GT58      GT        GT58
GT59      GT        GT59
GT6       GT        GT6
GT60      GT        GT60
GT61      GT        GT61
GT62      GT        GT62
GT63      GT        GT63
GT64      GT        GT64
GT65      GT        GT65
GT66      GT        GT66
GT67      GT        GT67
GT68      GT        GT68
GT69      GT        GT69
GT7       GT        GT7
GT70      GT        GT70
GT71      GT        GT71
GT72      GT        GT72
GT73      GT        GT73
GT74      GT        GT74
GT75      GT        GT75
GT76      GT        GT76
GT77      GT        GT77
GT78      GT        GT78
GT8       GT        GT8
GT81      GT        GT81
GT83      GT        GT83
GT84      GT        GT84
GT85      GT        GT85
GT87      GT        GT87
GT88      GT        GT88
GT89      GT        GT89
GT9       GT        GT9
GT90      GT        GT90
GT91      GT        GT91
GT92      GT        GT92
PL1       PL        PL1
PL10      PL        PL10
PL11      PL        PL11
PL12      PL        PL12
PL14      PL        PL14
PL15      PL        PL15
PL16      PL        PL16
PL17      PL        PL17
PL2       PL        PL2
PL20      PL        PL20
PL21      PL        PL21
PL22      PL        PL22
PL3       PL        PL3
PL4       PL        PL4
PL5       PL        PL5
PL6       PL        PL6
PL7       PL        PL7
PL8       PL        PL8
PL9       PL        PL9
SLH       SL        SLH
cohesin   co        cohesin
dockerin  do        dockerin
